paper,term,text,link
Guardian,Military,US military account's gibberish tweet prompts viral mystery ,https://t.co/pxrq2Yqj80
Guardian,Military,Brazil on edge as three military chiefs resign after Bolsonaro fires defense minister ,https://t.co/Fa55LLYc7s
Guardian,Military,"Myanmar military a 'terrorist group' that should face international court, advisory council says ",https://t.co/A79j2sWkcv
Guardian,Military,Funeral held for 13-year-old boy shot by military in Myanmar – video ,https://t.co/wajXujJzka
Guardian,Military,Fear turns to fury in Myanmar as children shot by military ,https://t.co/sJ8wRQoKJQ
Guardian,Military,Global calls to tackle Myanmar military's 'reign of terror' after worst mass killing ,https://t.co/4As0w7kvxu
Guardian,Military,Capitol insurrection charges highlight white supremacists in US military ,https://t.co/roH4oZ2ha5
Guardian,Military,Myanmar military says protesters could be 'shot in the head' as it marks Armed Forces Day ,https://t.co/TRX17x0nU4
Guardian,Military,Taiwan reports largest incursion yet by Chinese military aircraft ,https://t.co/3fMzbXLs3a
Guardian,Military,The US military is poisoning communities across the US with toxic chemicals ,https://t.co/VndycLvloq
DailyMailUK,Military,Charles lays wreath at tomb of Unknown Soldier in Athens before he and Camilla watch military parade ,https://t.co/zsBKBGuppI
TheSun,Military,Incredible 23-bedroom military fort with helipad and saunas on market at £4.25m ,https://t.co/EMDmjRBHKN
TheSun,Military,Can you keep up with @BearGrylls? Try our exclusive outdoor workout to get 'military fit' for summer ,https://t.co/nP3VLiQYpd 
TheSun,Military,Putin tightens military grip on Arctic to gain control of territory across 11 time zones ,https://t.co/9tzAT7wQIT
Telegraph,Military,"As villagers from Myanmar's Karen State fled homes to escape violence, Myanmar's senior military officers celebrated the country’s Armed Forces Day with a lavish party

📸Reuters/Karen Teacher

Read more 👇
",https://t.co/MaFwUIJdQe 
Telegraph,Military,🔴 Special report: Britain's defence review identified two key adversaries - China and Russia. But both present very different challenges ,https://t.co/KcNWiAsdKl
Telegraph,Military,"📍Inherent bias

""I have heard the usual arguments, mostly centering on the premise that women who have never played a men's sport can't cover it. That it is nonsense. Does a war correspondent need to have served in the military?""","https📍Inherent bias

""I have heard the usual arguments, mostly centering on the premise that women who have never played a men's sport can't cover it. That it is nonsense. Does a war correspondent need to have served in the military?"""
Telegraph,Military,Portugal's former Europe minister says explanation for 'why Italian military police burst into factory on false grounds' is needed ,https://t.co/All42HMxzw
Telegraph,Military,"The military’s suppression of nationwide peaceful protests has been so brutal that Tom Andrews, the UN rapporteur for human rights in Myanmar, has warned they have likely met the legal threshold for crimes against humanity ",https://t.co/ZyIIcxUlnv
Guardian,Climate,Elite minority of frequent flyers 'cause most of aviation's climate damage' ,https://t.co/rZzxWUzKfN
Guardian,Climate,Climate crisis 'likely cause' of early cherry blossom in Japan ,https://t.co/RdlxAacpZL
Guardian,Climate,UK criticised for ignoring Paris climate goals in infrastructure decisions ,https://t.co/jK0h68gSvb
Guardian,Climate,"As a climate activist, I object to the Post Office selling me to Shell Energy ",https://t.co/UrZzAKmacI
Guardian,Climate,UK urged to take lead in helping poor countries fund climate action ,https://t.co/9iIIqgd1rb
Guardian,Climate,Climate change: rainfall threatens spectacular Northumberland carved fireplace ,https://t.co/AT8vDuCtOM
Guardian,Climate,"Last thing we need is a 'cosy consensus' on climate crisis, warns Ed Miliband ",https://t.co/MMiwkSLXql
Guardian,Climate,Climate talks will test Biden’s pledge to make global heating a priority ,https://t.co/Byfj3XCZUZ
Guardian,Climate,Joe Biden invites 40 world leaders to virtual summit on climate crisis ,https://t.co/OcU3NIYpy8
Guardian,Climate,Fears climate crisis could increase allergy season severity by up to 60% ,https://t.co/YtyEPNiaVO
FT,Climate,COP26 climate talks: what will success look like? ,https://t.co/mQdn0hStex
FT,Climate,What can central bankers do about climate change? ,https://t.co/G21mzarWlH
FT,Climate,Biden invites Xi and Putin to climate summit ,https://t.co/eaKS4q8Ri8
TheSun,Climate,"Climate change could be averted by HACKING glaciers to halt rising sea levels, scientists claim ",https://t.co/nOkjce7k1Z
Telegraph,Climate,Indian government said Myanmar citizens fleeing the deadly police crackdown should be 'politely turned away' ,https://t.co/rAUw9jOZyp
Telegraph,Climate,"Hit hard by the pandemic, fears now grow over the hardships yet to come in Liverpool. @JoeShute reports 👇 ",https://t.co/Z0MH99Jg98
Telegraph,Climate,"Study finds that while men from an ethnic minority were far more likely to be hospitalised, those who had the most severe prolonged symptoms were white women aged 40 to 60 ",https://t.co/NnAZ0sa65C
Guardian,Politics,Race commission report suggests 'idealism' of BLM campaigners counter-productive for racial equality – live ,https://t.co/w6xr0zfbvH
Guardian,Politics,"No evidence Britain is institutionally racist, government commission finds - live updates ",https://t.co/WXa8QdiAaC
Guardian,Politics,Business card puts Greensill founder at the heart of Downing Street ,https://t.co/fyxbvRsKpc
Guardian,Politics,"Johnson does have case to answer over Jennifer Arcuri, says chair of standards panel ",https://t.co/7Ho2x1ryk3
Guardian,Politics,UK slashes aid to Syria despite direct appeals from UN ,https://t.co/FydNLPQ4tk
Guardian,Politics,Labour MP apologises for saying he once saw business as 'the enemy' ,https://t.co/1LfTWn8867
Guardian,Politics,Biden pushes plan to rebuild US infrastructure as Covid cases rise – live ,https://t.co/OTfvf82E91
Guardian,Politics,"UK Covid live news: deaths pass 150,000, ONS confirms ",https://t.co/FOspwEr9vL
Guardian,Politics,"UK Covid live news: Johnson and world leaders say next pandemic is matter of 'not if, but when' ",https://t.co/a9uG9eDnee
Guardian,Politics,GHB to become class B drug in UK after use in high-profile rape cases ,https://t.co/unk7XSZl4y
DailyMailUK,Politics,Nicola Sturgeon takes aim at Alex Salmond with attack on politicians 'who treat politics like a game' ,https://t.co/fKNuPaNP6z
DailyMailUK,Politics,Student banned from student union for saying 'Rule Britannia' in army debate is now kicked out of politics society ,https://t.co/iS2orDu0g6
TheSun,Politics,Ministers use of secret 'Mission Impossible' texting app faces courtroom showdown ,https://t.co/TU6v5Epz3i
TheSun,Politics,"Army to lead battle to go green and will become even more efficient, top brass vow ",https://t.co/MwHBXzheWp
TheSun,Politics,Covid roadmap: All the key dates you need to know including holiday announcement next week ,https://t.co/KCMVqmdKth
TheSun,Politics,Brits CAN travel across the country to see friends and family - but overnight stays banned ,https://t.co/i80xF53Paq
Telegraph,Politics,"🔴 LIVE: Government faces backlash after race report claims Britain is 'beacon' for equality

Follow all the latest updates on our politics liveblog here 👇 ",https://t.co/5RB3H6kmod
Telegraph,Politics,"🔓 This article is currently free to read

🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿  IFS report reveals English taxpayers are 'funding the SNP' thanks to subsidies ",https://t.co/dEdLjtjqLv
Telegraph,Politics,"""Mr Fox insisted that he was “in it to win it”. So far, opinion polls may not have registered any support for him, but this, he promised, would soon change"" | Writes @MichaelPDeacon ",https://t.co/Fb0YSjBGL8
Telegraph,Politics,English taxpayers 'funding the SNP' thanks to subsidies ,https://t.co/1G4pgMK9LO
Telegraph,Politics,"Nicola Sturgeon has been repeatedly accused of jeopardising Scotland's recovery from coronavirus by focusing instead on another independence referendum and her ""poisonous"" war with Alex Salmond ",https://t.co/OkQsPURM6C
Telegraph,Politics,Calls grow for inquiry into the access banker Lex Greensill was given to government while David Cameron was prime minister ,https://t.co/xweq39PQ6m
Telegraph,Politics,"The number crossing in small boats to England has hit a record of nearly 1,400 for the first three months of the year ",https://t.co/dEKuHyLrrr
Telegraph,Politics,France and Germany were in negotiations with Vladimir Putin to supply the Russian covid vaccine to the EU after Angela Merkel suspended use of the Oxford-AstraZeneca jab for the under 60s ,https://t.co/Fexocz0Ebu
Telegraph,Politics,🔴The First Minister said she would not work with her former mentor to deliver independence ,https://t.co/rfisZ23GCg
Telegraph,Politics,🇬🇧 'Couldn’t we have done something more ‘Cool Britannia’?'  ,https://t.co/RldDKr2bwK
Guardian,Brexit,Biden's tariffs threat shows how far Brexit Britain is from controlling its own destiny | Tom Kibasi ,https://t.co/9iFEN1oyjr
Guardian,Brexit,Britons in France could lose driving licences due to post-Brexit impasse ,https://t.co/lDetjHULWS
Guardian,Brexit,Britons in Spain face three-month visa-free limit under post-Brexit rules ,https://t.co/dhzLYROKbf
Guardian,Brexit,'We've been sold a dud': small firms suffer decline in EU exports ,https://t.co/NxhiCQQf9Q
Guardian,Brexit,Brexiters seek to raise £1m to set up 'neutral' Museum of Brexit ,https://t.co/5xp5bqM32S
Guardian,Brexit,All is not rosy for UK gardens as Brexit hits supplies and Covid hikes demand ,https://t.co/PTITsjgQj9
Guardian,Brexit,Brexit: UK cheese firm boss in despair over minister's export advice ,https://t.co/86fglDAA07
Guardian,Brexit,A festival to heal the scars of Brexit | Letter ,https://t.co/ZJgwdiOSAb
Guardian,Brexit,How Brexit added layers of bureaucracy to meat exports ,https://t.co/W0h0X4YTAI
DailyMailUK,Brexit,Alicante officials refuse to let dozens of Britons into Spain because of Brexit ,https://t.co/GeX9hxf4GR
DailyMailUK,Brexit,Cream cake makers will face new red tape to export their products to the EU from next month under post-Brexit rules ,https://t.co/Qx5uCQimDh
DailyMailUK,Brexit,Most Britons think Brexit WAS the right thing to do after EU vaccine shambles ,https://t.co/AqMFynuC8R
FT,Brexit,UK small business and consumers run into trainload of Brexit issues ,https://t.co/4wsvgbSHtB
TheSun,Brexit,Brits living in EU face deportation from TODAY as Brexit ‘revenge’ rules kick in ,https://t.co/LfornuDVN1
TheSun,Brexit,'Boris Johnson’s decision to bottle Novavax jab in Teesside is great news as Brussels tries to punish Britain for Brexit' ,https://t.co/R5IGtL8DLR
TheSun,Brexit,Ten countries including France and Germany will NOT extradite criminals to the UK after Brexit ,https://t.co/Kirg8oey6T
TheSun,Brexit,Brits will be deported in days after ‘ignoring’ rules to leave Spain  ,https://t.co/vaXLmE9AqU
TheSun,Brexit,Hundreds of Brit ex-pats living in Spain could be forced to return to UK within days under Brexit rules ,https://t.co/FtkERQoo9g
Telegraph,Brexit,"🔴 The group, which includes Arlene Foster, Northern Ireland’s First Minister, are seeking to challenge the legality of the post-Brexit trading arrangements ",https://t.co/MrjJg97Wy5
Telegraph,Brexit,"""The lesson is clear: the EU doesn’t work"" | Writes @RogerBootle ",https://t.co/ZvO8ZqjVdL
Telegraph,Brexit,Would you visit the Brexit Museum? 🇬🇧,httpsWould you visit the Brexit Museum? 🇬🇧
Telegraph,Brexit,"Trustees hope to raise £400,000 to purchase a property in the Midlands ",https://t.co/LM68F7YOgz
Telegraph,Brexit,"""The EU’s failure to strike early, binding contracts with the vaccine companies has come back to haunt them. Unable to accept their failure, the Commission has tried to scapegoat the UK."" | Writes @MPIainDS ",https://t.co/uaq1QG5lSj
Telegraph,Brexit,"""I never ever use that word failure now. I call it feedback. If you reframe it then that feeling of failure dissipates.""

Retail power couple Peter Jones and Tara Capp talk highs, lows and one very public bust-up with Holly Willoughby ",https://t.co/MVW9ItDN5B
Guardian,Boris,Steve Bell on Boris Johnson's new £2.6m press briefing room - cartoon ,https://t.co/p7XA9Ux7j0
Guardian,Boris,Two union flags flutter in hot air as Johnson tries to connect | Zoe Williams ,https://t.co/AQ4pUb8B2V
